rank,University,Total Students,student staff ratio,pc of int'l students,female:male ratio
42,KU Leuven,47663,36.5,0.18,1.0408163265306123
43,Universitat Heidelberg,19347,13.5,0.21,1.2222222222222223
44,Monash University,58725,42.5,0.41000000000000003,1.3255813953488371
46,McGill University,32309,12.5,0.3,1.5
47,Paris Sciences et Lettres – PSL Research University Paris,16218,15.0,0.22,1.0408163265306123
48,University of Illinois at Urbana-Champaign,48674,17.4,0.22,0.9230769230769231
49,Karolinska Institute,8021,9.9,0.27,2.3333333333333335
50,University of Texas at Austin,49171,17.4,0.1,1.127659574468085
51,Fudan University,36318,11.9,0.09,1.0833333333333333
52,Shanghai Jiao Tong University,37478,11.5,0.08,0.7241379310344828
53,The University of Queensland,41372,34.2,0.41000000000000003,1.2222222222222223
54,University of Manchester,37036,14.2,0.44,1.2222222222222223
54,The University of Sydney,45853,19.0,0.45,1.380952380952381
57,Washington University in St Louis,14420,7.8,0.24,1.127659574468085
59,Wageningen University & Research,15404,18.6,0.27,1.2222222222222223
60,University of Amsterdam,29157,14.5,0.32,1.4390243902439024
62,Australian National University,16758,14.6,0.51,1.0833333333333333
63,"University of California, Davis",37639,13.1,0.18,1.5
64,"University of California, Santa Barbara",25860,28.5,0.2,1.173913043478261
65,University of Southern California,40549,12.6,0.22,0.9607843137254902
66,Utrecht University,32532,17.1,0.13,1.631578947368421
68,Kyoto University,22269,9.2,0.12,0.3333333333333333
69,University of North Carolina at Chapel Hill,31080,7.9,0.08,1.4390243902439024
70,Delft University of Technology,20299,16.1,0.31,0.4492753623188406
71,Boston University,27243,10.8,0.31,1.4390243902439024
71,UNSW Sydney,45133,36.3,0.4,0.8867924528301887
73,Charite - Universitatsmedizin Berlin,8429,18.0,0.21,1.7777777777777777
75,University of Groningen,30009,24.4,0.28,1.0833333333333333
76,University of Bristol,25679,14.6,0.31,1.2727272727272727
77,Leiden University,33648,19.3,0.2,1.5
78,Yonsei University,19481,14.7,0.17,1.0
79,Hong Kong Polytechnic University,19046,28.9,0.3,1.0408163265306123
80,Erasmus University Rotterdam,31668,33.9,0.22,1.127659574468085
82,Emory University,13190,4.2,0.2,1.5
82,University of Glasgow,28541,13.5,0.41000000000000003,1.4390243902439024
82,University of Zurich,25003,13.7,0.22,1.2727272727272727
85,McMaster University,26403,29.0,0.2,1.2727272727272727
86,University of Tubingen,20620,27.5,0.13,1.4390243902439024
88,University of Adelaide,23102,32.8,0.32,0.9607843137254902
89,University of Bonn,27210,47.5,0.17,1.2727272727272727
90,Sorbonne University,41443,13.9,0.21,1.4390243902439024
91,Free University of Berlin,26497,41.9,0.23,1.631578947368421
91,Korea Advanced Institute of Science and Technology,9946,10.7,0.09,0.26582278481012656
93,Universite Paris-Saclay,44443,14.9,0.19,0.9607843137254902
94,University of Bern,11728,17.2,0.17,1.380952380952381
95,"University of California, Irvine",36655,16.9,0.28,1.0833333333333333
95,Institut Polytechnique de Paris,5999,6.7,0.41000000000000003,0.3157894736842105
95,Nanjing University,36426,16.5,0.08,1.173913043478261
98,Vanderbilt University,12696,3.8,0.15,1.2222222222222223
99,City University of Hong Kong,9099,12.1,0.62,1.173913043478261
99,RWTH Aachen University,39738,50.0,0.28,0.4925373134328358
101,University of Basel,8632,10.9,0.3,1.3255813953488371
101,King Abdulaziz University,31545,7.8,0.22,1.173913043478261
101,University of Minnesota,61009,12.0,0.1,1.173913043478261
104,"University of Maryland, College Park",33775,16.5,0.11,0.9607843137254902
104,University of Warwick,23231,13.1,0.44,1.0
106,Michigan State University,45465,16.0,0.13,1.0833333333333333
107,Ghent University,39437,35.6,0.12,1.3255813953488371
108,University of Birmingham,31822,15.0,0.34,1.380952380952381
108,University of Southampton,21173,13.7,0.39,1.127659574468085
110,University of Helsinki,23059,15.8,0.05,2.0303030303030303
112,Ohio State University,55814,11.8,0.13,1.0408163265306123
113,University of Freiburg,20253,37.2,0.17,1.127659574468085
114,University of Copenhagen,31519,4.2,0.16,1.631578947368421
114,Universite Paris Cite,62747,17.0,0.19,1.8571428571428572
114,University of Sheffield,27464,14.5,0.41000000000000003,1.127659574468085
117,Aarhus University,26475,13.5,0.1,1.2222222222222223
119,University of Gottingen,30221,26.0,0.14,1.0833333333333333
119,Lund University,28545,11.5,0.18,1.2222222222222223
121,Vrije Universiteit Amsterdam,29796,19.8,0.16,1.2727272727272727
122,Lancaster University,14378,12.8,0.39,1.0408163265306123
123,Dartmouth College,6440,7.8,0.15,0.9607843137254902
124,Queen Mary University of London,20506,13.2,0.46,1.2222222222222223
124,University of Vienna,35929,42.9,0.29,1.9411764705882353
126,University of Oslo,21548,13.3,0.15,1.9411764705882353
127,Purdue University West Lafayette,44551,16.9,0.2,0.7857142857142857
128,University of Hamburg,30676,61.5,0.12,1.380952380952381
128,University of Leeds,33991,14.6,0.36,1.5
130,University of Nottingham,32876,15.1,0.31,1.173913043478261
131,University of Antwerp,15857,32.2,0.17,1.2727272727272727
131,The University of Western Australia,18405,21.3,0.28,0.9607843137254902
133,University of Technology Sydney,27481,35.1,0.31,1.0
134,Case Western Reserve University,10934,8.2,0.2,1.0408163265306123
136,Georgetown University,16074,8.0,0.19,1.173913043478261
137,University of Exeter,24164,15.9,0.29,1.127659574468085
137,University of Ottawa,36670,26.0,0.24,1.380952380952381
139,University of Auckland,33093,22.1,0.32,1.2727272727272727
139,Newcastle University,25588,15.1,0.29,1.0833333333333333
139,Radboud University Nijmegen,21979,17.6,0.13,1.2727272727272727
139,University of Wurzburg,23754,40.7,0.1,1.380952380952381
139,University of York,17666,14.3,0.28,1.2727272727272727
144,University of Pittsburgh-Pittsburgh campus,26575,5.5,0.11,1.2222222222222223
145,Maastricht University,19909,18.6,0.56,1.5
147,Rice University,7068,9.2,0.28,0.7543859649122807
148,University of Colorado Boulder,34928,16.0,0.08,0.8181818181818182
148,Ulm University,10271,26.2,0.13,1.0408163265306123
148,Uppsala University,25548,15.3,0.17,1.631578947368421
151,University of Florida,46807,16.1,0.08,1.2727272727272727
151,Penn State,46863,14.0,0.16,0.8867924528301887
151,Tufts University,11399,10.0,0.16,1.2727272727272727
154,University of Rochester,10364,7.7,0.36,1.0
155,KTH Royal Institute of Technology,13329,16.4,0.2,0.5151515151515151
156,Arizona State University,50027,19.6,0.17,0.8181818181818182
156,Technical University of Berlin,20243,48.1,0.27,0.5384615384615384
156,TU Dresden,30382,30.8,0.16,0.8181818181818182
156,University of Virginia,25810,9.0,0.13,1.127659574468085
160,University of Cape Town,21069,12.8,0.15,1.173913043478261
161,University of Bologna,69831,24.4,0.12,1.2727272727272727
161,Trinity College Dublin,17764,21.0,0.28,1.5
163,University of Leicester,14649,14.1,0.34,1.173913043478261
163,Lomonosov Moscow State University,32625,10.0,0.36,1.0
166,Technical University of Denmark,9599,6.9,0.26,0.47058823529411764
168,Medical University of Graz,3722,14.1,0.27,1.127659574468085
168,"Northeastern University, US",21211,14.6,0.36,0.9230769230769231
170,Indiana University,66637,12.6,0.13,1.127659574468085
170,Universite Catholique de Louvain,24523,36.0,0.2,1.173913043478261
174,Ulsan National Institute of Science and Technology,3896,13.6,0.09,0.3698630136986301
175,Macquarie University,30561,69.0,0.27,1.0833333333333333
176,University of Liverpool,26352,14.2,0.36,1.2222222222222223
180,University of Arizona,39797,17.0,0.09,1.173913043478261
181,Texas A&M University,62931,21.3,0.08,0.8867924528301887
182,University of Barcelona,45004,15.8,0.11,1.7027027027027026
183,Autonomous University of Barcelona,31933,12.7,0.16,1.5
183,Scuola Normale Superiore di Pisa,629,7.6,0.13,0.3888888888888889
186,Pompeu Fabra University,11965,22.4,0.13,1.5
187,Cardiff University,27107,14.3,0.28,1.4390243902439024
187,National Taiwan University,25215,11.4,0.11,0.7241379310344828
189,Karlsruhe Institute of Technology,22673,21.6,0.2,0.4084507042253521
191,University of Massachusetts,63338,13.2,0.14,0.9607843137254902
192,University of Aberdeen,13203,16.2,0.44,1.380952380952381
192,"University of California, Santa Cruz",19266,22.6,0.14,0.8867924528301887
194,Medical University of Vienna,7274,8.4,0.33,1.0
194,University of Miami,17009,10.8,0.16,1.127659574468085
196,University of Erlangen-Nuremberg,30303,43.4,0.13,1.0408163265306123
198,Durham University,18427,14.1,0.35000000000000003,1.173913043478261
198,Queen’s University Belfast,19061,15.7,0.39,1.3255813953488371
198,University of Reading,15720,16.4,0.32,1.2727272727272727
225,Aalto University,13306,19.7,0.21,0.6129032258064516
225,University of Bergen,15202,12.8,0.1,1.5
225,Bielefeld University,24875,66.6,0.07,1.380952380952381
225,University of Calgary,33560,18.7,0.21,1.173913043478261
225,Curtin University,29999,20.8,0.31,1.0833333333333333
225,University of Dundee,13631,18.3,0.27,1.7777777777777777
225,University of East Anglia,15941,13.3,0.25,1.380952380952381
225,University of Geneva,19078,8.7,0.4,1.631578947368421
225,George Washington University,22298,12.9,0.15,1.631578947368421
225,University of Hohenheim,8714,39.7,0.14,1.380952380952381
225,Humanitas University,1823,19.0,0.18,1.4390243902439024
225,King Fahd University of Petroleum and Minerals,7268,8.6,0.1,0.02040816326530612
225,University of Konstanz,5758,24.2,0.12,1.5
225,Universite Libre de Bruxelles,28290,49.3,0.31,1.3255813953488371
225,University of Luxembourg,5185,19.3,0.51,1.127659574468085
225,University of Macau,10460,15.4,0.39,1.2222222222222223
225,Macau University of Science and Technology,11993,38.1,0.91,1.3255813953488371
225,Medical University of Innsbruck,3244,12.9,0.43,1.173913043478261
225,University of Newcastle,24363,29.5,0.18,1.3255813953488371
225,University of Notre Dame,12401,10.9,0.13,0.8518518518518519
225,University of Padua,48524,29.3,0.08,1.2222222222222223
225,University of Potsdam,14993,39.6,0.14,1.3255813953488371
225,Qatar University,9084,8.8,0.35000000000000003,3.347826086956522
225,Queensland University of Technology,35278,37.9,0.17,1.127659574468085
225,Rutgers University – New Brunswick,46158,10.9,0.17,1.127659574468085
225,"St George’s, University of London",3489,13.3,0.2,1.7777777777777777
225,Sant’Anna School of Advanced Studies – Pisa,1100,14.0,0.19,0.6949152542372882
225,University of Sao Paulo,82010,15.9,0.04,0.8867924528301887
225,Sapienza University of Rome,72604,28.2,0.1,1.5
225,Semmelweis University,9860,12.2,0.34,2.225806451612903
225,University of St Andrews,9770,12.3,0.47000000000000003,1.4390243902439024
225,University of Surrey,14958,16.9,0.36,1.127659574468085
225,University of Sussex,17791,17.5,0.37,1.2222222222222223
225,Universita della Svizzera italiana,3266,12.5,0.66,0.8867924528301887
225,University of Tartu,9235,12.0,0.13,2.125
225,Tel Aviv University,23834,23.0,0.07,1.3255813953488371
225,Tohoku University,17812,12.4,0.14,0.3888888888888889
225,Vita-Salute San Raffaele University,3560,15.1,0.05,1.564102564102564
225,Vrije Universiteit Brussel,14284,33.6,0.23,1.3255813953488371
225,University of Waterloo,34306,23.2,0.23,0.9230769230769231
225,Western University,29747,29.5,0.22,1.2727272727272727
225,Western Sydney University,36033,40.3,0.22,1.380952380952381
225,University of Wollongong,17440,29.1,0.27,1.173913043478261
275,Auckland University of Technology,18837,17.3,0.49,1.4390243902439024
275,Australian Catholic University,23728,39.1,0.15,3.0
275,University of Bath,14953,15.5,0.34,0.8518518518518519
275,Bond University,3214,10.9,0.39,1.173913043478261
275,Boston College,12755,14.5,0.12,1.173913043478261
275,Bournemouth University,13823,18.5,0.21,1.127659574468085
275,Brighton and Sussex Medical School,1013,19.7,0.17,1.5
275,"University of California, Riverside",24515,18.6,0.14,1.127659574468085
275,Chalmers University of Technology,9513,13.8,0.19,0.47058823529411764
275,"China Medical University, Taiwan",7284,15.5,0.09,1.2727272727272727
275,Copenhagen Business School,16547,27.7,0.24,0.9230769230769231
275,Deakin University,43080,33.9,0.25,1.380952380952381
275,University of Duisburg-Essen,41618,43.7,0.19,0.9607843137254902
275,Heinrich Heine University Dusseldorf,29365,32.8,0.12,1.380952380952381
275,Ecole des Ponts ParisTech,1959,10.0,0.37,0.47058823529411764
275,Goethe University Frankfurt,30082,12.7,0.14,1.380952380952381
275,Griffith University,35900,32.9,0.17,1.4390243902439024
275,University of Hawai’i at M<U+0101>noa,14628,10.7,0.11,1.2727272727272727
275,Hebrew University of Jerusalem,16175,11.3,0.05,1.3255813953488371
275,University of Illinois at Chicago,28724,11.3,0.19,1.173913043478261
275,Indian Institute of Science,3990,8.8,0.01,0.3698630136986301
275,Johannes Gutenberg University of Mainz,30856,25.5,0.12,1.4390243902439024
275,University of Kiel,27911,22.7,0.09,1.127659574468085
275,King Saud University,33931,10.6,0.14,0.7857142857142857
275,Kyung Hee University,20504,17.7,0.27,1.2222222222222223
275,La Trobe University,21663,27.4,0.33,1.7027027027027026
275,Universite Laval,28611,16.9,0.15,1.380952380952381
275,Linkoping University,15026,14.4,0.15,1.0833333333333333
275,University of Navarra,11466,14.7,0.27,1.173913043478261
275,Oregon Health and Science University,3035,1.0,0.03,2.0303030303030303
275,Osaka University,22485,10.5,0.1,0.4925373134328358
275,University of Pavia,20027,34.9,0.1,1.3255813953488371
275,Queen’s University,26556,26.2,0.17,1.4390243902439024
275,Ruhr University Bochum,38441,48.5,0.15,1.0
275,Sejong University,12356,20.8,0.13,0.9230769230769231
275,University of Sharjah,12933,19.2,0.55,2.0303030303030303
275,Simon Fraser University,26981,27.5,0.31,1.173913043478261
275,University of Southern Denmark,18471,10.2,0.14,1.127659574468085
275,Stellenbosch University,24907,25.9,0.08,1.2727272727272727
275,Sun Yat-sen University,57951,15.1,0.05,0.9607843137254902
275,Swansea University,17489,15.4,0.22,0.8867924528301887
275,Tilburg University,11876,29.9,0.2,1.0408163265306123
275,Tongji University,30153,10.8,0.12,0.8518518518518519
275,University of Twente,9816,14.7,0.37,0.5873015873015873
275,United Arab Emirates University,7121,10.9,0.17,4.0
275,University of Utah,30967,13.6,0.08,0.9230769230769231
275,Virginia Polytechnic Institute and State University,36512,18.5,0.14,0.7543859649122807
275,University of the Witwatersrand,26871,23.6,0.07,1.2727272727272727
325,Abu Dhabi University,3926,18.1,0.6,1.0408163265306123
325,Aix-Marseille University,70054,17.4,0.13,1.5
325,Alfaisal University,2851,10.2,0.32,1.4390243902439024
325,Anglia Ruskin University,20287,27.8,0.46,1.7777777777777777
325,Autonomous University of Madrid,29327,13.2,0.12,1.564102564102564
325,University of Bordeaux,53755,22.4,0.13,1.4390243902439024
325,Brandeis University,5427,13.1,0.28,1.4390243902439024
325,Universiti Brunei Darussalam,3641,10.8,0.14,1.9411764705882353
325,University at Buffalo,27393,18.0,0.15,0.8181818181818182
325,"University of California, Merced",9185,20.1,0.1,1.0833333333333333
325,University of Colorado Denver/Anschutz Medical Campus,17224,3.8,0.08,1.3255813953488371
325,Dalhousie University,16901,14.8,0.28,1.2222222222222223
325,Drexel University,19304,12.5,0.14,1.0408163265306123
325,Ecole Normale Superieure de Lyon,2171,8.6,0.11,0.8867924528301887
325,University of Essex,14335,15.3,0.4,1.173913043478261
325,Flinders University,17027,27.9,0.36,1.8571428571428572
325,Florida State University,39380,24.0,0.07,1.3255813953488371
325,University of Galway,15109,26.1,0.2,1.5
325,George Mason University,32157,18.1,0.12,1.127659574468085
325,Hasselt University,5683,31.1,0.14,0.9607843137254902
325,University of Iowa,29257,11.1,0.08,1.173913043478261
325,Lappeenranta-Lahti University of Technology LUT,4609,30.3,0.12,0.4925373134328358
325,University of Milan,47512,21.2,0.07,1.5
325,University of Milan-Bicocca,29057,29.2,0.05,1.631578947368421
325,Montpellier University,40179,20.1,0.15,1.173913043478261
325,Nagoya University,15224,12.8,0.12,0.42857142857142855
325,University of Otago,18508,19.7,0.19,1.5
325,University of Oulu,10134,19.8,0.07,1.173913043478261
325,Peter the Great St Petersburg Polytechnic University,16375,9.7,0.32,0.6949152542372882
325,Reykjavik University,2757,22.9,0.08,0.8867924528301887
325,RMIT University,32692,23.6,0.34,0.9230769230769231
325,University of St Gallen,8065,12.2,0.34,0.5384615384615384
325,Saint Louis University,10798,7.4,0.07,1.5
325,University of South Australia,23490,32.9,0.21,1.380952380952381
325,University of Southern Queensland,12150,26.0,0.18,1.631578947368421
325,Stony Brook University,25411,10.6,0.22,1.0833333333333333
325,University of Stuttgart,16054,26.5,0.19,0.5151515151515151
325,Swinburne University of Technology,15327,25.6,0.25,0.6129032258064516
325,Taipei Medical University,5946,9.1,0.1,1.380952380952381
325,Tampere University,15855,20.6,0.06,1.173913043478261
325,University of Tasmania,18264,22.9,0.36,1.5
325,Technical University of Darmstadt,15526,37.1,0.18,0.5151515151515151
325,Temple University,35641,12.5,0.08,1.173913043478261
325,Tokyo Institute of Technology,9878,9.5,0.17,0.19047619047619047
325,University College Cork,17925,20.8,0.2,1.4390243902439024
325,University of Victoria,20936,24.6,0.21,1.2222222222222223
375,American University of Beirut,9267,8.7,0.22,1.0408163265306123
375,"Asia University, Taiwan",11421,30.3,0.07,1.631578947368421
375,Ateneo de Manila University,13159,10.0,0.04,1.0408163265306123
375,"Birkbeck, University of London",8059,16.7,0.4,1.2727272727272727
375,University of Bremen,12635,20.1,0.14,1.127659574468085
375,University of Brescia,15133,24.6,0.07,0.8518518518518519
375,University of Cape Coast,28451,35.5,0.0,0.4925373134328358
375,Catholic University of Portugal,11213,22.2,0.21,1.7027027027027026
375,Charles Darwin University,7246,34.5,0.3,2.225806451612903
375,"City, University of London",15459,18.2,0.51,1.3255813953488371
375,University of Delaware,21808,16.3,0.12,1.3255813953488371
375,East China Normal University,28055,14.7,0.11,1.7777777777777777
375,Edith Cowan University,18759,30.4,0.28,1.5
375,Golestan University of Medical Sciences,3721,11.5,0.11,1.5
375,University of Greifswald,10291,20.6,0.08,1.380952380952381
375,University of Hail,19366,11.2,0.1,1.7027027027027026
375,Howard University,8782,8.2,0.06,2.3333333333333335
375,Imam Mohammad Ibn Saud Islamic University,43110,10.8,0.03,0.639344262295082
375,IMT Atlantique,1436,7.7,0.33,0.3333333333333333
375,James Cook University,12825,20.1,0.32,1.631578947368421
375,JSS Academy of Higher Education and Research,7891,9.5,0.07,1.173913043478261
375,University of Kent,16703,17.0,0.29,1.173913043478261
375,Khalifa University,3029,8.8,0.22,1.380952380952381
375,Kurdistan University of Medical Sciences,3181,10.5,0.02,0.9607843137254902
375,Leuphana University of Luneburg,7839,26.1,0.07,1.631578947368421
375,University of Liege,21910,26.8,0.21,1.380952380952381
375,Loughborough University,15815,13.7,0.29,0.6949152542372882
375,University of Malaya,18320,9.8,0.18,1.380952380952381
375,University of Manitoba,29561,29.4,0.2,1.173913043478261
375,Mazandaran University of Medical Sciences,7845,15.1,0.01,1.3255813953488371
375,University of Naples Federico II,53319,20.2,0.02,1.2222222222222223
375,University of New Mexico,18046,16.9,0.05,1.2727272727272727
375,North Carolina State University,31540,16.6,0.14,0.9230769230769231
375,University of Rome II – Tor Vergata,24038,30.3,0.2,1.2727272727272727
375,"Royal Holloway, University of London",10640,15.1,0.35000000000000003,1.3255813953488371
375,Royal Veterinary College,2248,10.4,0.3,4.0
375,Rush University,2757,2.1,0.01,3.1666666666666665
375,Shoolini University of Biotechnology and Management Sciences,2973,14.3,0.02,0.8181818181818182
375,University of Stirling,9855,16.0,0.27,1.7777777777777777
375,Swedish University of Agricultural Sciences,4216,4.6,0.07,2.3333333333333335
375,University of Texas at Dallas,25464,21.6,0.2,0.7543859649122807
375,Tulane University,11220,7.5,0.11,1.380952380952381
375,University of Turku,13012,15.3,0.05,1.7777777777777777
375,University of Vaasa,3873,20.0,0.04,1.127659574468085
375,Verona University,18621,23.8,0.04,1.7777777777777777
375,Wake Forest University,8122,4.0,0.1,1.173913043478261
375,Washington State University,29463,19.5,0.07,1.173913043478261
375,Wroclaw Medical University,6769,9.4,0.14,2.4482758620689653
450,Alagappa University,4831,15.7,0.0,1.7027027027027026
450,University of Alaska Fairbanks,2910,7.2,0.06,1.127659574468085
450,Arak University of Medical Sciences,3500,7.4,0.01,1.2727272727272727
450,Aston University,12014,17.8,0.25,0.9230769230769231
450,Aswan University,31877,46.7,0.02,1.2222222222222223
450,Babol University of Medical Sciences,4102,11.8,0.0,1.380952380952381
450,Babol Noshirvani University of Technology,6180,28.7,0.0,0.4925373134328358
450,Bangor University,8790,15.8,0.26,1.564102564102564
450,University of Bayreuth,9734,26.6,0.12,0.8867924528301887
450,Brunel University London,13041,17.0,0.39,0.8867924528301887
450,University of Campinas,31199,17.8,0.03,0.8518518518518519
450,Cankaya University,7113,25.4,0.01,0.8518518518518519
450,University of Catania,26902,21.2,0.03,1.380952380952381
450,Claude Bernard University Lyon 1,28253,13.0,0.14,1.173913043478261
450,Colorado School of Mines,6350,17.6,0.09,0.4492753623188406
450,"Colorado State University, Fort Collins",29351,17.7,0.06,1.2222222222222223
450,Complutense University of Madrid,61128,20.3,0.12,1.631578947368421
450,University of Connecticut,27752,13.6,0.12,1.0833333333333333
450,University of Crete,13808,27.6,0.04,1.7027027027027026
450,University of Cyprus,6875,20.1,0.13,1.5
450,University of Denver,10001,13.0,0.06,1.5
450,Dublin City University,13956,25.4,0.17,1.4390243902439024
450,Duy Tan University,21670,21.9,0.0,1.631578947368421
450,Edinburgh Napier University,11536,20.4,0.35000000000000003,1.127659574468085
450,University of Electronic Science and Technology of China,35232,15.4,0.03,0.42857142857142855
450,Ferhat Abbas Setif University 1,34637,22.7,0.01,1.7027027027027026
450,University of Ferrara,20507,32.6,0.05,1.564102564102564
450,University of Florence,39407,23.0,0.09,1.2727272727272727
450,Free University of Bozen-Bolzano,4236,12.6,0.15,2.125
450,University of Genoa,20447,23.7,0.08,1.3255813953488371
450,Georgia State University,34734,17.3,0.05,1.380952380952381
450,Universite Grenoble Alpes,50868,18.2,0.17,1.0833333333333333
450,Hunan University,41580,18.6,0.02,0.8867924528301887
450,University of Ibadan,26156,17.6,0.0,0.9607843137254902
450,Illinois Institute of Technology,6386,11.5,0.41000000000000003,0.5873015873015873
450,University of Innsbruck,13918,22.0,0.46,1.127659574468085
450,Institut Agro,2148,11.5,0.16,1.8571428571428572
450,University of International Business and Economics,16061,15.7,0.15,2.225806451612903
450,Iowa State University,28767,16.7,0.1,0.7857142857142857
450,Jazan University,26568,13.0,0.03,1.7777777777777777
450,Justus Liebig University Giessen,28278,44.6,0.11,1.7027027027027026
450,University of Jyvaskyla,10444,14.4,0.03,1.631578947368421
450,University of Kansas,24435,9.9,0.08,1.127659574468085
450,University of Klagenfurt,3562,10.0,0.28,2.125
450,Koc University,5882,19.7,0.08,0.9230769230769231
450,University of KwaZulu-Natal,35795,30.1,0.02,1.5
450,University of Lagos,36237,21.5,0.0,0.9230769230769231
450,Leibniz University Hannover,21677,43.7,0.18,0.7241379310344828
450,Lincoln University,2492,13.3,0.44,1.0408163265306123
450,University of Lincoln,14479,15.8,0.13,1.2222222222222223
450,Liverpool John Moores University,21727,17.4,0.16,1.173913043478261
450,Mahatma Gandhi University,1855,14.6,0.02,1.564102564102564
450,University of Marburg,23383,31.2,0.12,1.2727272727272727
450,Maynooth University,11454,28.5,0.15,1.2222222222222223
450,Middlesex University,15906,18.8,0.5,1.380952380952381
450,University of Modena and Reggio Emilia,21409,26.9,0.05,1.127659574468085
450,Muhimbili University of Health and Allied Sciences,3626,11.3,0.03,0.6949152542372882
450,Murdoch University,16641,36.5,0.4,1.564102564102564
450,National and Kapodistrian University of Athens,66649,31.0,0.11,1.4390243902439024
450,National Research Nuclear University MEPhI,5016,9.2,0.31,0.6666666666666666
450,University of Nebraska-Lincoln,24909,16.8,0.1,0.9607843137254902
450,University of Nebraska Medical Center,3181,2.0,0.09,2.225806451612903
450,Norwegian University of Science and Technology,37707,15.8,0.09,0.9230769230769231
450,Nova Southeastern University,17952,16.3,0.04,2.3333333333333335
450,Orebro University,10005,15.2,0.05,1.564102564102564
450,University of Passau,9703,69.2,0.12,1.564102564102564
450,University of Pisa,33791,21.9,0.06,1.0408163265306123
450,University of Plymouth,15606,17.8,0.16,1.380952380952381
450,University of Porto,33484,16.2,0.16,1.2222222222222223
450,University of Portsmouth,22489,16.4,0.29,0.8867924528301887
450,Qazvin University of Medical Sciences,2598,9.2,0.01,1.3255813953488371
450,Qom University of Medical Sciences,2272,9.1,0.04,1.3255813953488371
450,Quaid-i-Azam University,9250,16.5,0.01,1.0408163265306123
450,Sabanc<U+0131> University,3819,20.0,0.1,0.6129032258064516
450,Sharif University of Technology,9219,22.5,0.02,0.3333333333333333
450,Shenzhen University,38240,14.1,0.01,0.8518518518518519
450,University of Siena,12948,18.7,0.09,1.7027027027027026
450,South China University of Technology,40082,12.7,0.05,0.639344262295082
450,Southeast University,37484,12.3,0.04,0.5625
450,SRUC,1325,5.3,0.08,1.5
450,University of Strathclyde,19842,17.0,0.29,1.0
450,Sumy State University,8703,11.4,0.21,0.7857142857142857
450,Syracuse University,20620,14.9,0.23,1.0833333333333333
450,Universiti Teknologi Petronas,5021,13.6,0.16,0.6129032258064516
450,Ton Duc Thang University,27878,25.3,0.01,1.2727272727272727
450,University of Trento,14219,19.2,0.08,1.0833333333333333
450,The University of Tulsa,4407,12.0,0.1,0.9230769230769231
450,University of Turin,58463,28.4,0.06,1.564102564102564
450,TU Wien,10327,17.7,0.31,0.4492753623188406
450,Umea University,18218,12.6,0.11,1.564102564102564
450,Urmia University of Medical Sciences,4644,12.0,0.02,1.0408163265306123
450,Universiti Utara Malaysia,12457,11.6,0.3,3.761904761904762
450,Victoria University of Wellington,17883,18.8,0.2,1.380952380952381
450,University of Waikato,10472,17.6,0.31,1.4390243902439024
450,University of the West of England,24587,15.9,0.23,1.127659574468085
