rank,University
1,University of Oxford
2,Stanford University
3,Harvard University
4,California Institute of Technology
5,Massachusetts Institute of Technology
6,University of Cambridge
7,"University of California, Berkeley"
8,Yale University
9,Princeton University
10,The University of Chicago
11,Imperial College London
12,Johns Hopkins University
13,University of Pennsylvania
14,ETH Zurich
15,"University of California, Los Angeles"
16,UCL
17,Columbia University
18,University of Toronto
19,Cornell University
=20,Duke University
=20,Tsinghua University
22,University of Michigan-Ann Arbor
23,Peking University
24,Northwestern University
25,National University of Singapore
26,New York University
27,London School of Economics and Political Science
28,Carnegie Mellon University
29,University of Washington
30,University of Edinburgh
31,University of Melbourne
32,LMU Munich
33,"University of California, San Diego"
34,University of British Columbia
35,King’s College London
=36,Karolinska Institute
=36,The University of Tokyo
38,Georgia Institute of Technology
39,University of Hong Kong
40,McGill University
41,Technical University of Munich
42,Heidelberg University
43,Ecole Polytechnique Federale de Lausanne
44,University of Texas at Austin
45,KU Leuven
46,Paris Sciences et Lettres – PSL Research University Paris
47,"Nanyang Technological University, Singapore"
48,University of Illinois at Urbana-Champaign
49,University of Wisconsin-Madison
50,Washington University in St Louis
=51,University of Manchester
=51,University of Sydney
53,University of Southern California
=54,Boston University
=54,Kyoto University
=56,Chinese University of Hong Kong
=56,The Hong Kong University of Science and Technology
=56,University of North Carolina at Chapel Hill
59,Australian National University
60,Seoul National University
61,Brown University
=62,The University of Queensland
=62,Wageningen University & Research
=64,"University of California, Davis"
=64,Monash University
66,University of Amsterdam
67,UNSW Sydney
68,"University of California, Santa Barbara"
69,McMaster University
=70,Fudan University
=70,Leiden University
72,Erasmus University Rotterdam
=73,University of Montreal
=73,University of Zurich
=75,Charite - Universitatsmedizin Berlin
=75,Utrecht University
77,University of Warwick
=78,Delft University of Technology
=78,University of Tubingen
=80,University of Groningen
=80,Humboldt University of Berlin
=80,Ohio State University (Main campus)
83,University of Freiburg
84,University of Copenhagen
=85,Emory University
=85,University of Minnesota
=87,Ecole Polytechnique
=87,University of Science and Technology of China
=87,Sorbonne University
90,"University of Maryland, College Park"
91,University of Bristol
=92,University of Basel
=92,University of Glasgow
=94,Purdue University West Lafayette
=94,Zhejiang University
96,Korea Advanced Institute of Science and Technology (KAIST)
97,National Taiwan University (NTU)
=98,"University of California, Irvine"
=98,University of Helsinki
100,Shanghai Jiao Tong University
=101,Dartmouth College
=101,Sungkyunkwan University (SKKU)
=103,Ghent University
=103,Lund University
105,Michigan State University
106,Aarhus University
=107,University of Birmingham
=107,RWTH Aachen University
109,University of Bern
110,Queen Mary University of London
=111,Nanjing University
=111,Uppsala University
=111,Vanderbilt University
=114,University of Bonn
=114,Penn State (Main campus)
116,Vrije Universiteit Amsterdam
117,University of Virginia (Main campus)
=118,University of Adelaide
=118,Free University of Berlin
120,Georgetown University
=121,Case Western Reserve University
=121,Maastricht University
=121,University of Sheffield
=124,University of Arizona
