rank,University
=124,Rice University
126,City University of Hong Kong
=127,University of Oslo
=127,University of Southampton
129,Hong Kong Polytechnic University
130,University of Gottingen
=131,University of Alberta
=131,University of Colorado Boulder
=133,University of Pittsburgh-Pittsburgh campus
=133,University of York
135,University of Hamburg
=136,Lancaster University
=136,Universite de Paris
=136,Radboud University Nijmegen
139,The University of Western Australia
=140,Indiana University
=140,University of Mannheim
=140,Technical University of Berlin
=140,Ulm University
=140,University of Wurzburg
=145,University of Cologne
=145,University of Ottawa
=147,University of Auckland
=147,University of Rochester
=149,Durham University
=149,University of Geneva
151,Pohang University of Science and Technology (POSTECH)
=152,University of Florida
=152,Pompeu Fabra University
=152,TU Dresden
=155,University of Cape Town
=155,Trinity College Dublin
=155,Tufts University
=158,Bielefeld University
=158,University of Nottingham
=160,University of Leeds
=160,University of Sussex
=160,University of Technology Sydney
163,University of Liverpool
=164,Universite Catholique de Louvain
=164,University of Vienna
166,"Rutgers, the State University of New Jersey"
=167,University of Bologna
=167,Korea University
169,University of Alabama at Birmingham
=170,University of Antwerp
=170,University of Leicester
=170,University of Notre Dame
=170,Sant’Anna School of Advanced Studies – Pisa
=174,University of Exeter
=174,Lomonosov Moscow State University
=176,Northeastern University
=176,Ulsan National Institute of Science and Technology (UNIST)
=178,University of Aberdeen
=178,Newcastle University
=178,Paris-Saclay University
181,Scuola Normale Superiore di Pisa
182,Autonomous University of Barcelona
183,Stockholm University
=184,Arizona State University (Tempe)
=184,University of Canberra
186,Queensland University of Technology
=187,Eindhoven University of Technology
=187,George Washington University
=187,Technical University of Denmark
=187,Yonsei University (Seoul campus)
=191,Cardiff University
=191,University of Gothenburg
=191,University of Lausanne
=191,Tel Aviv University
=195,Macquarie University
=195,University of Munster
197,Texas A&M University
=198,University of Barcelona
=198,University of Erlangen-Nuremberg
=200,University of Calgary
=200,University of East Anglia
=200,Queen’s University Belfast
201–250,Aalborg University
201–250,Aalto University
201–250,University of Bath
201–250,University of Bergen
201–250,Brandeis University
201–250,"University of California, Santa Cruz"
201–250,Chalmers University of Technology
201–250,Copenhagen Business School
201–250,Curtin University
201–250,University of Duisburg-Essen
201–250,University of Dundee
201–250,Griffith University
201–250,University of Hawai’i at M<U+0101>noa
201–250,Hebrew University of Jerusalem
201–250,University of Hohenheim
201–250,Howard University
201–250,University of Iowa
201–250,James Cook University
201–250,Karlsruhe Institute of Technology
201–250,King Abdulaziz University
201–250,KTH Royal Institute of Technology
201–250,La Trobe University
201–250,Universite Libre de Bruxelles
201–250,University of Luxembourg
201–250,University of Massachusetts
201–250,Medical University of Graz
201–250,Medical University of Innsbruck
201–250,Medical University of Vienna
201–250,University of Miami
201–250,Moscow Institute of Physics and Technology (MIPT)
201–250,University of Otago
201–250,RCSI University of Medicine and Health Sciences
201–250,University of Reading
201–250,"St George’s, University of London"
201–250,University of Sao Paulo
201–250,Sapienza University of Rome
201–250,University of South Florida (Tampa)
201–250,University of St Andrews
201–250,Telecom Paris
201–250,Tilburg University
201–250,Tohoku University
201–250,University of Twente
201–250,University of Utah
201–250,Virginia Polytechnic Institute and State University
201–250,University of Waterloo
201–250,Western University
201–250,University of the Witwatersrand
201–250,University of Wollongong
251–300,Alfaisal University
251–300,Auckland University of Technology
251–300,Australian Catholic University
251–300,Brighton and Sussex Medical School
251–300,University at Buffalo
251–300,"University of California, Riverside"
251–300,University of Cincinnati – Uptown
251–300,Dalhousie University
251–300,Deakin University
251–300,Ecole des Ponts ParisTech
251–300,Ecole Normale Superieure de Lyon
251–300,Flinders University
251–300,Florida State University
251–300,Friedrich Schiller University Jena
251–300,George Mason University
251–300,Goethe University Frankfurt
251–300,HSE University
251–300,University of Illinois at Chicago
251–300,Jacobs University
251–300,University of Kiel
251–300,University of Konstanz
251–300,Kyung Hee University
251–300,Universite Laval
251–300,Macau University of Science and Technology
251–300,University of Navarra
251–300,University of Newcastle
251–300,University of New Mexico (Main campus)
251–300,Nova Southeastern University
251–300,Oregon Health and Science University
251–300,University of Padua
251–300,University of Potsdam
251–300,Queen’s University
251–300,Ruhr University Bochum
251–300,Simon Fraser University
251–300,University of Southern Denmark
251–300,Southern University of Science and Technology (SUSTech)
251–300,Stellenbosch University
251–300,SUNY University at Albany
251–300,Sun Yat-sen University
251–300,University of Surrey
251–300,Universita della Svizzera italiana
251–300,Swansea University
251–300,University of Tartu
251–300,University College Dublin
251–300,Vita-Salute San Raffaele University
251–300,Vrije Universiteit Brussel
251–300,Wake Forest University
251–300,Western Sydney University
251–300,William & Mary
301–350,American University of Beirut
301–350,Anglia Ruskin University (ARU)
301–350,Autonomous University of Madrid
301–350,Beijing Normal University
301–350,Boston College
301–350,"University of California, Merced"
301–350,University of Colorado Denver/Anschutz Medical Campus
301–350,Cyprus University of Technology
301–350,University of Delaware
301–350,University of Essex
301–350,University of Greifswald
301–350,Huazhong University of Science and Technology
301–350,Illinois Institute of Technology
301–350,Indian Institute of Science
301–350,Johannes Gutenberg University of Mainz
301–350,University of Kent
301–350,University of Klagenfurt
301–350,Kurdistan University of Medical Sciences
301–350,University of Macau
301–350,University of Malaya
301–350,University of Marburg
301–350,Montpellier University
301–350,"National University of Ireland, Galway"
301–350,North Carolina State University
301–350,University of Oregon
301–350,University of Oulu
301–350,University of Passau
301–350,Peter the Great St Petersburg Polytechnic University
301–350,Qatar University
301–350,Reykjavik University
301–350,RMIT University
301–350,"Royal Holloway, University of London"
301–350,Rush University
301–350,Sejong University
301–350,University of South Australia
301–350,University of Stirling
301–350,Stony Brook University
301–350,Syracuse University
301–350,Taipei Medical University
301–350,Tampere University
301–350,Technical University of Darmstadt
301–350,Temple University
301–350,The University of Tennessee-Knoxville
301–350,University of Texas at Dallas
301–350,Tokyo Institute of Technology
301–350,University of Trento
301–350,Tulane University
301–350,United Arab Emirates University
301–350,University College Cork
301–350,Washington State University
301–350,Wuhan University
351–400,Aix-Marseille University
351–400,Babol Noshirvani University of Technology
351–400,University of Bayreuth
351–400,"Birkbeck, University of London"
351–400,Universiti Brunei Darussalam
351–400,Brunel University London
351–400,Catholic University of Portugal
351–400,Central South University
351–400,"City, University of London"
351–400,University of Crete
351–400,Drexel University
351–400,East China Normal University
351–400,University of Fribourg
351–400,Grenoble Alpes University
351–400,Hanyang University
351–400,Hasselt University
351–400,Heriot-Watt University
351–400,Hong Kong Baptist University
351–400,IMT Atlantique
351–400,Indian Institute of Technology Ropar
351–400,University of Innsbruck
351–400,University of Kansas
351–400,Khalifa University
351–400,University of KwaZulu-Natal
351–400,Lappeenranta-Lahti University of Technology LUT
351–400,University of Liege
351–400,Loughborough University
351–400,University of Manitoba
351–400,University of Milan
351–400,University of Milan-Bicocca
351–400,Nagoya University
351–400,Nankai University
351–400,National Tsing Hua University
351–400,Northumbria University
351–400,NOVA University of Lisbon
351–400,"University of Occupational and Environmental Health, Japan"
351–400,Orebro University
351–400,Osaka University
351–400,Politecnico di Milano
351–400,University of Stuttgart
351–400,Swedish University of Agricultural Sciences
351–400,Swinburne University of Technology
351–400,University of Tasmania
351–400,University of Turku
351–400,UiT The Arctic University of Norway
351–400,Umea University
351–400,Universite de Versailles Saint-Quentin-en-Yvelines
351–400,Victoria University
351–400,University of Victoria
351–400,Wayne State University
401–500,Aberystwyth University
401–500,University of Alaska Fairbanks
401–500,American University
401–500,Aston University
401–500,Aswan University
401–500,Bangor University
401–500,University of Bari Aldo Moro
401–500,Bauman Moscow State Technical University
401–500,University of Bordeaux
401–500,Bournemouth University
401–500,University of Bremen
401–500,University of Brescia
401–500,University of Campinas
401–500,Cankaya University
401–500,University of Canterbury
401–500,Centrale Nantes
401–500,CEU Universities
401–500,Charles University in Prague
401–500,"China Medical University, Taiwan"
401–500,Clark University
401–500,Colorado School of Mines
401–500,"Colorado State University, Fort Collins"
401–500,University of Connecticut
401–500,University of Denver
401–500,University of Desarrollo
401–500,Diego Portales University
401–500,Durban University of Technology
401–500,University of Eastern Finland
401–500,Edith Cowan University
401–500,Federal University of Toulouse Midi-Pyrenees
401–500,University of Florence
401–500,Florida International University
401–500,Free University of Bozen-Bolzano
401–500,University of Genoa
401–500,University of Georgia
401–500,Georgia State University
401–500,"Goldsmiths, University of London"
401–500,Harbin Institute of Technology
401–500,Hunan University
401–500,University of Ibadan
401–500,University of Iceland
401–500,Indian Institute of Technology Indore
401–500,Iowa State University
401–500,Jordan University of Science and Technology
401–500,Justus Liebig University Giessen
401–500,University of Jyvaskyla
401–500,University of Kentucky
401–500,King Saud University
401–500,Koc University
401–500,Kyushu University
401–500,Linkoping University
401–500,L’institut Agro
401–500,Liverpool John Moores University
401–500,Makerere University
401–500,Mansoura University
401–500,Maynooth University
401–500,Middlesex University
401–500,Missouri University of Science and Technology
401–500,Mizzou - University of Missouri
401–500,University of Modena and Reggio Emilia
401–500,University of Naples Federico II
401–500,National and Kapodistrian University of Athens
401–500,National Research Nuclear University MEPhI
401–500,National Yang-Ming University
401–500,University of Nebraska-Lincoln
401–500,University of Neuchatel
401–500,Norwegian University of Science and Technology
401–500,Oklahoma State University
401–500,Oregon State University
401–500,University of Pavia
401–500,University of Peradeniya
401–500,University of the Philippines
401–500,University of Pisa
401–500,University of Plymouth
401–500,Polytechnic University of Bari
401–500,Pontifical Javeriana University
401–500,University of Porto
401–500,University of Rome II – Tor Vergata
401–500,Royal Veterinary College
401–500,University of St Gallen
401–500,Saint-Petersburg Mining University
401–500,University of Salerno
401–500,University of Sannio
401–500,University of Saskatchewan
401–500,Semmelweis University
401–500,Sharif University of Technology
401–500,Shenzhen University
401–500,University of Siena
401–500,University of South Carolina-Columbia
401–500,South China University of Technology
401–500,SRUC (Scotland’s Rural College)
401–500,University of Strathclyde
401–500,Technion Israel Institute of Technology
401–500,Tianjin University
401–500,Tokyo Medical and Dental University (TMDU)
401–500,Tongji University
401–500,University of Tsukuba
401–500,TU Dortmund University
401–500,The University of Tulsa
401–500,University of Turin
401–500,TU Wien
401–500,University of Valencia
401–500,Verona University
401–500,University of the West of England
401–500,Xi’an Jiaotong University
401–500,York University
501–600,Abdul Wali Khan University Mardan
501–600,Amirkabir University of Technology
501–600,University of L’Aquila
501–600,Universidad Autonoma de Chile
501–600,Bar-Ilan University
501–600,Beihang University
501–600,Beijing University of Chemical Technology
501–600,Beijing Institute of Technology
501–600,Bond University
501–600,Carleton University
501–600,University of Catania
501–600,CentraleSupelec
501–600,Charles Darwin University
501–600,Claude Bernard University Lyon 1
501–600,Complutense University of Madrid
501–600,University of Costa Rica
501–600,University of Cote d’Azur
501–600,University of Cyprus
501–600,Dublin City University
501–600,University of Electronic Science and Technology of China
501–600,Ferhat Abbas Setif University 1
501–600,University of Ferrara
501–600,Fujita Health University
501–600,Graz University of Technology
501–600,University of Guelph
501–600,Gwangju Institute of Science and Technology
501–600,Hacettepe University
501–600,Hofstra University
501–600,Hokkaido University
501–600,University of Houston
501–600,University of Hull
501–600,University of Insubria
501–600,Iran University of Medical Sciences
501–600,Iran University of Science and Technology
501–600,ITMO University
501–600,Jagiellonian University
501–600,University of Kashan
501–600,Keele University
501–600,King Fahd University of Petroleum and Minerals
501–600,King Khalid University
501–600,Lagos State University
501–600,Leibniz University Hannover
501–600,University of Limerick
501–600,University of Lincoln
501–600,University of Lisbon
501–600,Louisiana State University
501–600,Lviv Polytechnic National University
501–600,Mashhad University of Medical Sciences
501–600,Memorial University of Newfoundland
501–600,University of Messina
501–600,University of Montana
501–600,Murdoch University
501–600,National Cheng Kung University (NCKU)
501–600,National Chiao Tung University
501–600,National Taiwan University of Science and Technology (Taiwan Tech)
501–600,University of Nebraska Medical Center
501–600,New Jersey Institute of Technology
501–600,Northern Arizona University
501–600,North-West University
501–600,Northwestern Polytechnical University
501–600,Universidad Peruana Cayetano Heredia
501–600,Polytechnic University of Turin
501–600,Pontificia Universidad Catolica de Chile
501–600,University of Portsmouth
501–600,Quaid-i-Azam University
501–600,Renmin University of China
501–600,Rensselaer Polytechnic Institute
501–600,Sabanc<U+0131> University
501–600,University of Sassari
501–600,Sciences Po
501–600,SOAS University of London
501–600,Soochow University
501–600,Southeast University
501–600,University of Southern Queensland
501–600,Southwestern University of Finance and Economics
501–600,Stevens Institute of Technology
501–600,University of Strasbourg
501–600,Suez Canal University
501–600,Sumy State University
501–600,SUNY Binghamton University
501–600,University of Tehran
501–600,Tehran University of Medical Sciences
501–600,Teikyo University
501–600,Telecom SudParis
501–600,The University of Texas at San Antonio
501–600,Tomsk State University
501–600,University of Trieste
501–600,Universiti Tunku Abdul Rahman (UTAR)
501–600,University of Tuscia
501–600,University of Urbino Carlo Bo
501–600,Victoria University of Wellington
501–600,University of Waikato
501–600,The University of the West Indies
501–600,University of the West of Scotland
501–600,Xiamen University
501–600,Zhejiang Normal University
601–800,Abo Akademi University
601–800,The University of Aizu
601–800,Ajou University
601–800,The University of Alabama
601–800,University of Alabama in Huntsville
601–800,Al-Balqa Applied University
601–800,Amedeo Avogadro University of Eastern Piedmont
601–800,University of Antofagasta
601–800,Aristotle University of Thessaloniki
601–800,University of Arkansas
601–800,Athens University of Economics and Business
601–800,Auburn University
601–800,University of Aveiro
601–800,University of the Balearic Islands
601–800,Banaras Hindu University
601–800,University of Beira Interior
601–800,University of Belgrade
601–800,University of Bergamo
601–800,Bilkent University
601–800,Birmingham City University
601–800,Bo<U+011F>azici University
601–800,Universite Bourgogne Franche-Comte (UBFC)
601–800,University of Bradford
601–800,University of Brighton
601–800,Bucharest University of Economic Studies
601–800,Ca’ Foscari University of Venice
601–800,Cairo University
601–800,University of Calabria
601–800,University of Central Florida
601–800,Chapman University
601–800,Institute of Chemical Technology
601–800,China Agricultural University
601–800,"China University of Petroleum, Beijing"
601–800,Chongqing University
601–800,Chulalongkorn University
601–800,Chung-Ang University
601–800,Clemson University
601–800,University of Clermont Auvergne
601–800,University of Coimbra
601–800,COMSATS University Islamabad
601–800,Concordia University
601–800,Coventry University
601–800,Creighton University
601–800,Dalian University of Technology
601–800,University of Delhi
601–800,De Montfort University
601–800,University of Deusto
601–800,Ecole des Mines de Saint-Etienne
601–800,Ecole normale superieure Paris-Saclay
601–800,Edinburgh Napier University
601–800,Eotvos Lorand University
601–800,European University of Madrid
601–800,Ewha Womans University
601–800,Federal University of Minas Gerais
601–800,Universidade Federal do Rio Grande do Sul
601–800,Universidade Federal de Santa Catarina
601–800,Universidade Federal de Sao Paulo (UNIFESP)
601–800,Universidade Federal de Sergipe
601–800,Gabriele d‘Annunzio University
601–800,University of Girona
601–800,Glasgow Caledonian University
601–800,University of Granada
601–800,University of Graz
601–800,University of Greenwich
601–800,Guangdong University of Technology
601–800,University of Haifa
601–800,Hamburg University of Technology
601–800,Huazhong Agricultural University
601–800,University of Huddersfield
601–800,University of Idaho
601–800,Reichman University
601–800,"Indian Institute of Science Education and Research, Pune"
601–800,Indian Institute of Science Education and Research Kolkata
601–800,Indian Institute of Technology Gandhinagar
601–800,Indian Institute of Technology Hyderabad
601–800,Indraprastha Institute of Information Technology Delhi
601–800,Universitat Internacional de Catalunya
601–800,University of International Business and Economics
601–800,University of Ioannina
601–800,ISCTE-University Institute of Lisbon
601–800,Isfahan University of Technology
601–800,Jamia Millia Islamia
601–800,Jaume I University
601–800,Jawaharlal Nehru University
601–800,Jiangsu Normal University
601–800,Jikei University School of Medicine
601–800,Jinan University
601–800,University of Johannesburg
601–800,Johannes Kepler University of Linz
601–800,Kafrelsheikh University
601–800,University of Kaiserslautern
601–800,Kansai Medical University
601–800,Kansas State University
601–800,Kazan Federal University
601–800,Universiti Kebangsaan Malaysia
601–800,Keio University
601–800,King George’s Medical University
601–800,Kobe University
601–800,Konkuk University
601–800,University of Kurdistan
601–800,University of Lagos
601–800,Lakehead University
601–800,University of La Laguna
601–800,University of Latvia
601–800,Lehigh University
601–800,University of Lille
601–800,Lincoln University
601–800,University of Lleida
601–800,University of Lorraine
601–800,Mae Fah Luang University
601–800,Mahatma Gandhi University
601–800,Mahidol University
601–800,University of Malta
601–800,Manchester Metropolitan University
601–800,Marche Polytechnic University
601–800,"University of Maryland, Baltimore County"
601–800,Masaryk University
601–800,Massey University
601–800,Metropolitan Autonomous University
601–800,Miguel Hernandez University of Elche
601–800,University of Missouri-St Louis
601–800,University of Mohaghegh Ardabili
601–800,Montana State University
601–800,Monterrey Institute of Technology
601–800,University of Nairobi
601–800,Nanjing Agricultural University
601–800,Nanjing University of Information Science and Technology
601–800,Nanjing Medical University
601–800,Nanjing Tech University
601–800,University of Nantes
601–800,National Institute of Applied Sciences of Lyon (INSA Lyon)
601–800,National University of Science and Technology (MISiS)
601–800,National Taiwan Normal University
601–800,National Technical University of Athens
601–800,"University of Nevada, Las Vegas"
601–800,New Mexico State University (Main campus)
601–800,Nippon Medical School
601–800,University of North Carolina at Greensboro
601–800,Norwegian University of Life Sciences
601–800,Nottingham Trent University
601–800,Novosibirsk State University
601–800,Ohio University (Main campus)
601–800,The Open University
601–800,Open University of Catalonia
601–800,Oxford Brookes University
601–800,Ozyegin University
601–800,Palacky University Olomouc
601–800,University of Palermo
601–800,Panjab University
601–800,Pantheon-Sorbonne University – Paris 1
601–800,University of Parma
601–800,Parthenope University of Naples
601–800,University of Pecs
601–800,Universitat Politecnica de Catalunya
601–800,Pontifical Catholic University of Rio de Janeiro (PUC-Rio)
601–800,University of Pretoria
601–800,Universiti Putra Malaysia
601–800,Universite du Quebec
601–800,University of Rennes 1
601–800,University of Rhode Island
601–800,University of Rome III
601–800,Roskilde University
601–800,Rovira i Virgili University
601–800,Ryerson University
601–800,Universiti Sains Malaysia
601–800,Saint Petersburg State University
601–800,University of Salento
601–800,San Diego State University
601–800,Savitribai Phule Pune University
601–800,Shahid Beheshti University
601–800,Shahid Beheshti University of Medical Sciences
601–800,Shandong University
601–800,University of Sharjah
601–800,Shiraz University of Technology
601–800,Sichuan University
601–800,University of Siegen
601–800,Southern Cross University
601–800,Southern Medical University
601–800,University of the Sunshine Coast
601–800,University of Tabriz
601–800,Tabriz University of Medical Sciences
601–800,Universiti Teknologi Malaysia
601–800,Universiti Teknologi Petronas
601–800,University of Texas at Arlington
601–800,Texas Tech University
601–800,Thapar Institute of Engineering and Technology
601–800,University of Thessaly
601–800,University of Toledo
601–800,TU Braunschweig
601–800,University of Udine
601–800,University of Ulsan
601–800,Ulster University
601–800,Universiti Utara Malaysia
601–800,University of the Western Cape
601–800,Western Washington University
601–800,University of Windsor
601–800,University of Wisconsin-Milwaukee
601–800,Worcester Polytechnic Institute
601–800,University of Wuppertal
601–800,Xi’an Jiaotong-Liverpool University
601–800,Yasouj University
601–800,Yokohama City University
801–1000,University of the Aegean
801–1000,"University of Agriculture, Faisalabad"
801–1000,University of Alcala
801–1000,University of Algarve
801–1000,Aligarh Muslim University
801–1000,American University in Cairo
801–1000,American University of Sharjah
801–1000,Amrita Vishwa Vidyapeetham
801–1000,"University of the Andes, Colombia"
801–1000,"Asia University, Taiwan"
801–1000,Azarbaijan Shahid Madani University
801–1000,University of the Basque Country
801–1000,Baylor University
801–1000,University of Bedfordshire
801–1000,Beijing Jiaotong University
801–1000,Benha University
801–1000,Beni-Suef University
801–1000,Bharathiar University
801–1000,Bowling Green State University
801–1000,University of Brasilia
801–1000,Capital Medical University
801–1000,Cardiff Metropolitan University
801–1000,Carlos III University of Madrid
801–1000,University of Central Lancashire
801–1000,Central Queensland University
801–1000,University of Cergy-Pontoise
801–1000,Chang Gung University
801–1000,Charles Sturt University
801–1000,Chiba University
801–1000,University of Chile
801–1000,"China University of Geosciences, Beijing"
801–1000,"China University of Geosciences, Wuhan"
801–1000,China University of Mining and Technology
801–1000,Chonnam National University
801–1000,University of Cordoba
801–1000,Covenant University
801–1000,University of Debrecen
801–1000,Delhi Technological University
801–1000,University of Derby
801–1000,East China University of Science and Technology
801–1000,Eastern Mediterranean University
801–1000,University of East London
801–1000,Ecole Centrale de Lyon
801–1000,Universidade Estadual Paulista (Unesp)
801–1000,Federal University of Pelotas
801–1000,Federal University of Rio de Janeiro
801–1000,Federation University Australia
801–1000,Florida Agricultural and Mechanical University
801–1000,Florida Atlantic University
801–1000,Florida Institute of Technology
801–1000,University of Foggia
801–1000,Fu Jen Catholic University
801–1000,Fuzhou University
801–1000,Government College University Faisalabad
801–1000,Guru Jambheshwar University of Science and Technology
801–1000,University of Hertfordshire
801–1000,Hiroshima University
801–1000,Hyogo College of Medicine
801–1000,Ilmenau University of Technology
801–1000,Imam Abdulrahman Bin Faisal University
801–1000,Indian Institute of Technology Bhubaneswar
801–1000,Indian Institute of Technology (Indian School of Mines) Dhanbad
801–1000,Indian Institute of Science Education and Research Bhopal
801–1000,University of Indonesia
801–1000,Inha University
801–1000,Isfahan University of Medical Sciences
801–1000,Istanbul University
801–1000,Istanbul Technical University
801–1000,Iuliu Ha<U+0163>ieganu University of Medicine and Pharmacy Cluj-Napoca
801–1000,Jadavpur University
801–1000,University of Jaen
801–1000,Jamia Hamdard University
801–1000,Jiangsu University
801–1000,Jilin University
801–1000,The University of Jordan
801–1000,Juntendo University
801–1000,Kaohsiung Medical University
801–1000,Karabuk University
801–1000,Karlstad University
801–1000,Kent State University
801–1000,Kerman University of Medical Sciences
801–1000,Kharkiv National University of Radio Electronics
801–1000,Kindai University
801–1000,King Mongkut’s University of Technology Thonburi
801–1000,King Saud bin Abdulaziz University for Health Sciences
801–1000,Kingston University
801–1000,K.N. Toosi University of Technology
801–1000,Kurume University
801–1000,Kyoto Prefectural University of Medicine
801–1000,Kyungpook National University
801–1000,Lahore University of Management Sciences
801–1000,University of Las Palmas de Gran Canaria
801–1000,Lebanese American University
801–1000,Leeds Beckett University
801–1000,University of Leoben
801–1000,University of Ljubljana
801–1000,Louisiana Tech University
801–1000,"Lumiere University, Lyon 2"
801–1000,Marquette University
801–1000,Medical University of Warsaw
801–1000,University of Memphis
801–1000,Miami University
801–1000,Middle East Technical University
801–1000,University of Minho
801–1000,Mississippi State University
801–1000,Nanjing Normal University
801–1000,National Autonomous University of Mexico
801–1000,National Central University
801–1000,National Chengchi University
801–1000,National Dong Hwa University
801–1000,National Institute of Technology Rourkela
801–1000,National University of Sciences and Technology
801–1000,National Sun Yat-Sen University
801–1000,National Taipei University of Technology
801–1000,National Institute of Technology Silchar
801–1000,The New School
801–1000,University of New Brunswick UNB
801–1000,University of Nicosia
801–1000,Niigata University
801–1000,Normandy University
801–1000,Northeastern University
801–1000,Northeast Normal University
801–1000,University of Northern British Columbia (UNBC)
801–1000,NorthWest A&F University
801–1000,Ocean University of China
801–1000,Okayama University
801–1000,Old Dominion University
801–1000,Oran 1 University
801–1000,Osmania University
801–1000,University of Oviedo
801–1000,Pablo de Olavide University
801–1000,University of Peshawar
801–1000,Polytechnic University of Valencia
801–1000,Pontifical Catholic University of Rio Grande do Sul (PUCRS)
801–1000,Portland State University
801–1000,University of Puerto Rico
801–1000,Pusan National University
801–1000,University of Regina
801–1000,Rikkyo University
801–1000,Rochester Institute of Technology
801–1000,University of Roehampton
801–1000,RUDN University
801–1000,Universite Saint-Joseph de Beyrouth
801–1000,University of Salamanca
801–1000,University of Salford
801–1000,University of Santiago de Compostela
801–1000,University of Science and Technology Beijing
801–1000,University of Seville
801–1000,Shanghai University
801–1000,Shanghai University of Finance and Economics (SUFE)
801–1000,Shanghai Maritime University
801–1000,Shantou University
801–1000,Sheffield Hallam University
801–1000,Shiraz University
801–1000,Sidi Mohamed Ben Abdellah University
801–1000,Sogang University
801–1000,Sohag University
801–1000,University of South Bohemia in <U+010C>eske Bud<U+011B>jovice
801–1000,South China Normal University
801–1000,University of South Dakota
801–1000,Southern Illinois University Carbondale
801–1000,University of Split
801–1000,Sri Venkateswara University
801–1000,Sultan Qaboos University
801–1000,University of Szeged
801–1000,Tallinn University
801–1000,Tallinn University of Technology
801–1000,Technical University of Madrid
801–1000,Technological University Dublin
801–1000,University of Technology of Compiegne
801–1000,University of Technology of Troyes
801–1000,Teesside University
801–1000,Universiti Tenaga Nasional (UNITEN)
801–1000,University of Texas at El Paso
801–1000,Tokyo Medical University
801–1000,Tokyo Metropolitan University
801–1000,Tomsk Polytechnic University
801–1000,University of Tours
801–1000,Tribhuvan University
801–1000,"Vietnam National University, Hanoi"
801–1000,University of Vigo
801–1000,Vilnius University
801–1000,Vilnius Gediminas Technical University (Vilnius Tech)
801–1000,VIT University
801–1000,Volgograd State Technical University
801–1000,University of Warsaw
801–1000,Waseda University
801–1000,Wenzhou University
801–1000,University of Westminster
801–1000,University of Wolverhampton
801–1000,Wuhan University of Technology
801–1000,Xidian University
801–1000,Yangzhou University
801–1000,Yeungnam University
801–1000,University of Zaragoza
801–1000,Zayed University
801–1000,Zhejiang University of Technology
1001+,University of Abou Bekr Belkaid Tlemcen
1001+,Acharya Nagarjuna University
1001+,Ac<U+0131>badem University
1001+,University of A Coruna
1001+,"Adam Mickiewicz University, Pozna<U+0144>"
1001+,Adolfo Ibanez University
1001+,AGH University of Science and Technology
